country			state			city			zip code			name			address			phone			store hour			service
US			NJ			MIDDLETOWN			07748			MIDDLETOWN-BRANCH			1500 HIGHWAY 35			7327066280			Sunday 11:00 am - 3:00 pm;Monday 9:00 am - 6:00 pm;Tuesday 9:00 am - 6:00 pm;Wednesday 9:00 am - 6:00 pm;Thursday 9:00 am - 6:00 pm;Friday 9:00 am - 6:00 pm;Saturday 9:00 am - 5:00 pm;			STORE PICK UP,Drop-off Location
US			NJ			MIDDLETOWN			077481831			MIDDLETOWN - A			1500 HIGHWAY 35			7327066265			Sunday 10:30 am - 6:30 pm;Monday 9:30 am - 9:00 pm;Tuesday 9:30 am - 9:00 pm;Wednesday 9:30 am - 9:00 pm;Thursday 9:30 am - 9:00 pm;Friday 9:30 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			GIFT REGISTRY,FAMILY PORTRAIT STUDIO,STORE PICK UP,HEARING AIDS FITTING,TAX SERVICES & PREPARATION,LE Home Shop,LE Shops,RESERVE AND PAY,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			NJ			S PLAINFIELD			07080			SEARS HOME APPLIANCE SHOWROOM			4910 HADLEY CENTER DRIVE			9087575948			Sunday 11:00 am - 7:00 pm;Monday 10:00 am - 9:00 pm;Tuesday 10:00 am - 9:00 pm;Wednesday 10:00 am - 9:00 pm;Thursday 10:00 am - 9:00 pm;Friday 10:00 am - 9:00 pm;Saturday 10:00 am - 9:00 pm;			HAS WEBSITE,RESERVE AND PAY
US			NJ			CEDAR KNOLLS			079272105			CEDAR KNOLLS - HDWR			235 RIDGEDALE AVE			9739840098			Sunday 9:00 am - 6:00 pm;Monday 8:00 am - 9:00 pm;Tuesday 8:00 am - 9:00 pm;Wednesday 8:00 am - 9:00 pm;Thursday 8:00 am - 9:00 pm;Friday 8:00 am - 9:00 pm;Saturday 8:00 am - 9:00 pm;			STORE PICK UP,Home Appliances,HAS WEBSITE,Western Union Check Cashing
US			NY			WHITE PLAINS			10601			WHITE PLAINS - A			100 MAIN ST			9146441400			Sunday 10:30 am - 7:30 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 9:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,WATCH REPAIR SHOP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,Hair Salon,LE Shops,RESERVE AND PAY,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			NY			WHITE PLAINS			10601			WHITE PLAINS - BRANCH			100 MAIN ST			9146441505			Sunday 11:00 am - 3:00 pm;Monday 10:00 am - 6:00 pm;Tuesday 10:00 am - 6:00 pm;Wednesday 10:00 am - 6:00 pm;Thursday 10:00 am - 6:00 pm;Friday 10:00 am - 6:00 pm;Saturday 9:00 am - 5:00 pm;			STORE PICK UP,Drop-off Location
US			NY			WHITE PLAINS			10601			SEARS AUTO CENTER			100 MAIN ST			9146441495			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NY			HICKSVILLE			118012912			SEARS AUTO CENTER			195 N BROADWAY			5167333095			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 7:30am 7pm;Sun 9am 5pm;			STORE PICK UP,Western Union Check Cashing
US			NY			HICKSVILLE			118012912			HICKSVILLE - A			195 N BROADWAY			5167333000			Sunday 10:00 am - 7:00 pm;Monday 10:00 am - 9:00 pm;Tuesday 10:00 am - 9:00 pm;Wednesday 10:00 am - 9:00 pm;Thursday 10:00 am - 9:00 pm;Friday 10:00 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,WATCH REPAIR SHOP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,Hair Salon,LE Shops,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NY			NANUET			109542701			NANUET MALL			75 W ROUTE 59 STE 100			8456274500			Sunday 10:30 am - 7:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 9:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,OPTICAL,TAX SERVICES & PREPARATION,LE Home Shop,LE Shops,HAS WEBSITE,RESERVE AND PAY,Cross Format STS
